"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",11,242
"2","107","ASAPUR","DURGA KUND",1,27
"3","107","ASAPUR","LANKA",6,198
"4","107","ASAPUR","SIGRA",1,22
"5","107","BHELUPUR","CANTT RLY STATION",3,51
"6","107","BHELUPUR","LANKA",1,17
"7","107","BHELUPUR","SIGRA",3,36
"8","107","CANTT RLY STATION","ASAPUR",8,176
"9","107","CANTT RLY STATION","BHELUPUR",1,17
"10","107","CANTT RLY STATION","DURGA KUND",8,136
"11","107","CANTT RLY STATION","LANKA",35,770
"12","107","CANTT RLY STATION","PAHARIYA",5,85
"13","107","CANTT RLY STATION","PANDEYPUR",9,153
"14","107","CANTT RLY STATION","RAVIDAS GATE",3,66
"15","107","CANTT RLY STATION","SARNATH MUSEAM",26,572
"16","107","CHAUKAGHAT","ASAPUR",2,44
"17","107","DURGA KUND","CANTT RLY STATION",5,85
"18","107","DURGA KUND","POLICE LINE",1,22
"19","107","DURGA KUND","SIGRA",1,17
"20","107","HAVELIYA
CHAURAHA","LANKA",1,33
"21","107","KHAJURI","ASAPUR",1,17
"22","107","KHAJURI","LANKA",1,22
"23","107","KHAJURI","VIDYAPEETH",1,12
"24","107","LANKA","ASAPUR",1,33
"25","107","LANKA","BHELUPUR",1,17
"26","107","LANKA","CANTT RLY STATION",51,1122
"27","107","LANKA","CHAUKAGHAT",1,22
"28","107","LANKA","HAVELIYA
CHAURAHA",3,99
"29","107","LANKA","PAHARIYA",9,243
"30","107","LANKA","PANDEYPUR",5,135
"31","107","LANKA","POLICE LINE",2,54
"32","107","LANKA","RATHYATRA",4,68
"33","107","LANKA","SARNATH MUSEAM",7,231
"34","107","LANKA","SIGRA",8,136
"35","107","LANKA","VIDYAPEETH",1,22
"36","107","PAHARIYA","CANTT RLY STATION",2,34
"37","107","PAHARIYA","KHAJURI",1,12
"38","107","PAHARIYA","LANKA",4,108
"39","107","PAHARIYA","RAVIDAS GATE",1,27
"40","107","PAHARIYA","RAVINDERPURI",1,22
"41","107","PANDEYPUR","CANTT RLY STATION",3,51
"42","107","PANDEYPUR","LANKA",1,27
"43","107","POLICE LINE","ASAPUR",1,17
"44","107","POLICE LINE","BHELUPUR",2,44
"45","107","POLICE LINE","CANTT RLY STATION",5,60
"46","107","POLICE LINE","LANKA",1,27
"47","107","PURANA RTO","CANTT RLY STATION",1,22
"48","107","PURANA RTO","LANKA",1,33
"49","107","RATHYATRA","LANKA",2,34
"50","107","RAVINDERPURI","ASAPUR",2,54
"51","107","RAVINDERPURI","LANKA",1,12
"52","107","RAVINDERPURI","SARNATH MUSEAM",2,66
"53","107","SARNATH MUSEAM","BHELUPUR",3,81
"54","107","SARNATH MUSEAM","CANTT RLY STATION",35,770
"55","107","SARNATH MUSEAM","CHAUKAGHAT",1,22
"56","107","SARNATH MUSEAM","DURGA KUND",4,132
"57","107","SARNATH MUSEAM","KHAJURI",1,22
"58","107","SARNATH MUSEAM","LANKA",15,495
"59","107","SARNATH MUSEAM","PAHARIYA",1,17
"60","107","SARNATH MUSEAM","PANDEYPUR",2,34
"61","107","SARNATH MUSEAM","RAVIDAS GATE",4,132
"62","107","SARNATH MUSEAM","RAVINDERPURI",2,66
"63","107","SARNATH MUSEAM","SIGRA",1,27
"64","107","SIGRA","LANKA",4,68
"65","107(B)2","BHELUPUR","CANTT RLY STATION",4,68
"66","107(B)2","BHULLANPUR","KIT",2,66
"67","107(B)2","BOULIA","CANTT RLY STATION",2,24
"68","107(B)2","BOULIA","KIT",1,38
"69","107(B)2","BOULIA","MODHAILA",1,12
"70","107(B)2","CANTT RLY STATION","BHELUPUR",1,17
"71","107(B)2","CANTT RLY STATION","BHULLANPUR",2,44
"72","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",13,221
"73","107(B)2","CANTT RLY STATION","DURGA KUND",6,102
"74","107(B)2","CANTT RLY STATION","JAGATPUR",5,110
"75","107(B)2","CANTT RLY STATION","KIT",6,228
"76","107(B)2","CANTT RLY STATION","LANKA",34,748
"77","107(B)2","CANTT RLY STATION","MIRZAMURAD BAZAR",2,86
"78","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",4,172
"79","107(B)2","CANTT RLY STATION","MODHAILA",16,272
"80","107(B)2","CANTT RLY STATION","MOHANSARAI",18,486
"81","107(B)2","CANTT RLY STATION","RAJATALAB",17,561
"82","107(B)2","CANTT RLY STATION","RAVINDERPURI",1,17
"83","107(B)2","CANTT RLY STATION","ROHANIA",7,154
"84","107(B)2","CANTT RLY STATION","SADHU KI KUTIYA",3,114
"85","107(B)2","CANTT RLY STATION","SAHABABAD",5,135
"86","107(B)2","CANTT RLY STATION","SIGRA",2,24
"87","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY STATION",2,34
"88","107(B)2","CHANDPUR
CHAURAHA","JAGATPUR",1,17
"89","107(B)2","CHANDPUR
CHAURAHA","MIRZAMURAD BAZAR",1,38
"90","107(B)2","CHANDPUR
CHAURAHA","MIRZAMURAD
BAZAR",1,38
"91","107(B)2","CHANDPUR
CHAURAHA","MOHANSARAI",1,22
"92","107(B)2","CHANDPUR
CHAURAHA","RAJATALAB",1,27
"93","107(B)2","CHANDPUR
CHAURAHA","RAKHAUNA",1,33
"94","107(B)2","DURGA KUND","CANTT RLY STATION",6,102
"95","107(B)2","DURGA KUND","RATHYATRA",1,12
"96","107(B)2","JAGATPUR","BOULIA",1,22
"97","107(B)2","JAGATPUR","CANTT RLY STATION",4,88
"98","107(B)2","KIT","CANTT RLY STATION",1,38
"99","107(B)2","KIT","CHANDPUR
CHAURAHA",1,33
"100","107(B)2","LAHARTARA","MIRZAMURAD
BAZAR",2,76
"101","107(B)2","LAHARTARA","MOHANSARAI",2,54
"102","107(B)2","LAHARTARA","ROHANIA",1,17
"103","107(B)2","LANKA","CANTT RLY STATION",91,2002
"104","107(B)2","LANKA","JAGATPUR",1,33
"105","107(B)2","LANKA","MIRZAMURAD
BAZAR",1,48
"106","107(B)2","LANKA","RATHYATRA",2,34
"107","107(B)2","LANKA","SIGRA",12,204
