"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",5,110
"2","107","ASAPUR","LANKA",3,99
"3","107","ASAPUR","PANDEYPUR",1,17
"4","107","ASAPUR","POLICE LINE",1,17
"5","107","ASAPUR","SIGRA",4,88
"6","107","ASAPUR","VIDYAPEETH",1,22
"7","107","BHELUPUR","CANTT RLY
STATION",3,51
"8","107","BHELUPUR","PAHARIYA",2,44
"9","107","BHELUPUR","POLICE LINE",1,22
"10","107","CANTT RLY STATION","ASAPUR",2,44
"11","107","CANTT RLY STATION","DURGA KUND",6,102
"12","107","CANTT RLY STATION","LANKA",17,374
"13","107","CANTT RLY STATION","PAHARIYA",2,34
"14","107","CANTT RLY STATION","PANDEYPUR",2,34
"15","107","CANTT RLY STATION","RATHYATRA",1,12
"16","107","CANTT RLY STATION","RAVINDERPURI",3,51
"17","107","CANTT RLY STATION","SARNATH MUSEAM",11,242
"18","107","CANTT RLY
STATION","ASAPUR",2,44
"19","107","CANTT RLY
STATION","BHELUPUR",1,17
"20","107","CANTT RLY
STATION","DURGA KUND",9,153
"21","107","CANTT RLY
STATION","LANKA",15,330
"22","107","CANTT RLY
STATION","PAHARIYA",4,68
"23","107","CANTT RLY
STATION","PANDEYPUR",1,17
"24","107","CANTT RLY
STATION","SARNATH
MUSEAM",1,22
"25","107","CHAUKAGHAT","ASAPUR",3,66
"26","107","DURGA KUND","CANTT RLY STATION",2,34
"27","107","DURGA KUND","PANDEYPUR",2,44
"28","107","HAVELIYA
CHAURAHA","CANTT RLY STATION",8,176
"29","107","HAVELIYA
CHAURAHA","DURGA KUND",2,66
"30","107","HAVELIYA
CHAURAHA","SIGRA",2,54
"31","107","KHAJURI","ASAPUR",1,17
"32","107","KHAJURI","CANTT RLY
STATION",3,36
"33","107","LANKA","ASAPUR",10,330
"34","107","LANKA","BHELUPUR",2,34
"35","107","LANKA","CANTT RLY STATION",39,858
"36","107","LANKA","CANTT RLY
STATION",25,550
"37","107","LANKA","CHAUKAGHAT",5,110
"38","107","LANKA","PAHARIYA",5,135
"39","107","LANKA","PANDEYPUR",10,270
"40","107","LANKA","POLICE LINE",2,54
"41","107","LANKA","RATHYATRA",3,51
"42","107","LANKA","RAVINDERPURI",1,12
"43","107","LANKA","SARNATH MUSEAM",10,330
"44","107","LANKA","SARNATH RLY",1,33
"45","107","LANKA","SARNATH
MUSEAM",7,231
"46","107","LANKA","SIGRA",9,153
"47","107","LANKA","VIDYAPEETH",1,22
"48","107","PAHARIYA","BHELUPUR",2,44
"49","107","PAHARIYA","CANTT RLY STATION",3,51
"50","107","PAHARIYA","LANKA",1,27
"51","107","PAHARIYA","SARNATH
MUSEAM",1,17
"52","107","PANDEYPUR","ASAPUR",2,34
"53","107","PANDEYPUR","BHELUPUR",1,22
"54","107","PANDEYPUR","CANTT RLY STATION",4,68
"55","107","PANDEYPUR","CANTT RLY
STATION",1,17
"56","107","PANDEYPUR","DURGA KUND",5,110
"57","107","PANDEYPUR","LANKA",4,108
"58","107","PANDEYPUR","RATHYATRA",1,22
"59","107","PANDEYPUR","SARNATH
MUSEAM",2,34
"60","107","PANDEYPUR","VIDYAPEETH",1,17
"61","107","POLICE LINE","ASAPUR",2,34
"62","107","POLICE LINE","CANTT RLY STATION",1,12
"63","107","POLICE LINE","LANKA",1,27
"64","107","POLICE LINE","SARNATH MUSEAM",1,22
"65","107","POLICE LINE","VIDYAPEETH",1,17
"66","107","PURANA RTO","DURGA KUND",1,27
"67","107","PURANA RTO","LANKA",1,33
"68","107","PURANA RTO","SARNATH
MUSEAM",5,60
"69","107","RATHYATRA","DURGA KUND",2,24
"70","107","RATHYATRA","LANKA",4,68
"71","107","RATHYATRA","PANDEYPUR",1,22
"72","107","RATHYATRA","VIDYAPEETH",1,12
"73","107","SARNATH MUSEAM","CANTT RLY STATION",13,286
"74","107","SARNATH MUSEAM","DURGA KUND",6,198
"75","107","SARNATH MUSEAM","LANKA",5,165
"76","107","SARNATH MUSEAM","PAHARIYA",1,17
"77","107","SARNATH MUSEAM","PANDEYPUR",1,17
"78","107","SARNATH MUSEAM","RAVIDAS GATE",13,429
"79","107","SARNATH MUSEAM","SIGRA",1,27
"80","107","SARNATH
MUSEAM","CANTT RLY
STATION",5,110
"81","107","SARNATH
MUSEAM","DURGA KUND",1,33
"82","107","SARNATH
MUSEAM","LANKA",2,66
"83","107","SARNATH
MUSEAM","PANDEYPUR",2,34
"84","107","SARNATH
MUSEAM","RATHYATRA",10,270
"85","107","SARNATH
MUSEAM","SIGRA",2,54
"86","107","SIGRA","LANKA",1,17
"87","107","SIGRA","PANDEYPUR",2,34
"88","107","VIDYAPEETH","PANDEYPUR",2,34
"89","107(B)2","BHELUPUR","CANTT RLY STATION",2,34
"90","107(B)2","BHELUPUR","CANTT RLY
STATION",2,34
"91","107(B)2","BHELUPUR","VIDYAPEETH",2,24
"92","107(B)2","BHULLANPUR","CANTT RLY STATION",1,22
"93","107(B)2","BHULLANPUR","CANTT RLY
STATION",4,88
"94","107(B)2","BOULIA","RAJATALAB",1,27
"95","107(B)2","CANTT RLY STATION","BHELUPUR",3,51
"96","107(B)2","CANTT RLY STATION","BHULLANPUR",5,110
"97","107(B)2","CANTT RLY STATION","BOULIA",1,12
"98","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",4,68
"99","107(B)2","CANTT RLY STATION","DURGA KUND",4,68
"100","107(B)2","CANTT RLY STATION","KIT",1,38
"101","107(B)2","CANTT RLY STATION","LANKA",24,528
"102","107(B)2","CANTT RLY STATION","MIRZAMURAD BAZAR",3,129
"103","107(B)2","CANTT RLY STATION","MIRZAMURAD E
STATION",1,43
"104","107(B)2","CANTT RLY STATION","MODHAILA",1,17
"105","107(B)2","CANTT RLY STATION","MOHANSARAI",14,378
"106","107(B)2","CANTT RLY STATION","RAJATALAB",12,396
"107","107(B)2","CANTT RLY STATION","RAKHAUNA",1,38
"108","107(B)2","CANTT RLY STATION","RATHYATRA",5,60
"109","107(B)2","CANTT RLY STATION","RAVINDERPURI",2,34
"110","107(B)2","CANTT RLY STATION","ROHANIA",6,132
"111","107(B)2","CANTT RLY STATION","SADHU KI KUTIYA",1,38
"112","107(B)2","CANTT RLY STATION","SAHABABAD",2,54
"113","107(B)2","CANTT RLY STATION","SIGRA",1,12
"114","107(B)2","CANTT RLY
STATION","BHELUPUR",2,34
"115","107(B)2","CANTT RLY
STATION","CHANDPUR
CHAURAHA",3,51
"116","107(B)2","CANTT RLY
STATION","DURGA KUND",6,102
"117","107(B)2","CANTT RLY
STATION","KIT",3,114
"118","107(B)2","CANTT RLY
STATION","LANKA",22,484
"119","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",1,43
"120","107(B)2","CANTT RLY
STATION","MODHAILA",4,68
"121","107(B)2","CANTT RLY
STATION","MOHANSARAI",6,162
"122","107(B)2","CANTT RLY
STATION","RAJATALAB",1,33
"123","107(B)2","CANTT RLY
STATION","SAHABABAD",2,54
"124","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY STATION",2,34
"125","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY
STATION",5,85
"126","107(B)2","CHANDPUR
CHAURAHA","JAGATPUR",1,17
"127","107(B)2","CHANDPUR
CHAURAHA","MIRZAMURAD BAZAR",2,76
"128","107(B)2","CHANDPUR
CHAURAHA","MOHANSARAI",1,22
"129","107(B)2","JAGATPUR","CANTT RLY STATION",4,88
"130","107(B)2","KIT","CANTT RLY STATION",2,76
"131","107(B)2","LAHARTARA","MOHANSARAI",3,81
"132","107(B)2","LANKA","CANTT RLY STATION",46,1012
"133","107(B)2","LANKA","CANTT RLY
STATION",23,506
"134","107(B)2","LANKA","RATHYATRA",12,204
"135","107(B)2","LANKA","SIGRA",7,119
"136","107(B)2","LANKA","VIDYAPEETH",2,44
"137","107(B)2","MIRZAMURAD BAZAR","BOULIA",1,38
"138","107(B)2","MIRZAMURAD
BAZAR","LANKA",1,48
"139","107(B)2","MODHAILA","CANTT RLY STATION",2,34
"140","107(B)2","MODHAILA","CANTT RLY
STATION",3,51
"141","107(B)2","MOHANSARAI","CANTT RLY STATION",3,81
"142","107(B)2","MOHANSARAI","LAHARTARA",1,27
