"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",6,132
"2","107","ASAPUR","CANTT RLY
STATION",1,22
"3","107","ASAPUR","CHAUKAGHAT",1,22
"4","107","ASAPUR","DURGA KUND",1,27
"5","107","ASAPUR","LANKA",2,66
"6","107","ASAPUR","PANDEYPUR",1,17
"7","107","ASAPUR","POLICE LINE",2,34
"8","107","ASAPUR","RAVINDERPURI",1,27
"9","107","ASAPUR","SIGRA",3,66
"10","107","BHELUPUR","CANTT RLY STATION",1,17
"11","107","BHELUPUR","LANKA",1,17
"12","107","BHELUPUR","VIDYAPEETH",1,12
"13","107","CANTT RLY STATION","ASAPUR",4,88
"14","107","CANTT RLY STATION","BHELUPUR",2,34
"15","107","CANTT RLY STATION","DURGA KUND",7,119
"16","107","CANTT RLY STATION","LANKA",48,1056
"17","107","CANTT RLY STATION","PAHARIYA",2,34
"18","107","CANTT RLY STATION","PURANA RTO",1,22
"19","107","CANTT RLY STATION","RATHYATRA",1,12
"20","107","CANTT RLY STATION","RAVIDAS GATE",2,44
"21","107","CANTT RLY STATION","RAVINDERPURI",1,17
"22","107","CANTT RLY STATION","SARNATH MUSEAM",18,396
"23","107","CANTT RLY STATION","SIGRA",1,12
"24","107","CANTT RLY
STATION","DURGA KUND",2,34
"25","107","CANTT RLY
STATION","LANKA",22,484
"26","107","CANTT RLY
STATION","PANDEYPUR",1,17
"27","107","CANTT RLY
STATION","SARNATH
MUSEAM",4,88
"28","107","CHAUKAGHAT","SARNATH MUSEAM",1,22
"29","107","DURGA KUND","CANTT RLY
STATION",1,17
"30","107","DURGA KUND","CHAUKAGHAT",1,22
"31","107","HAVELIYA
CHAURAHA","LANKA",1,33
"32","107","KHAJURI","CANTT RLY STATION",1,12
"33","107","LANKA","ASAPUR",8,264
"34","107","LANKA","CANTT RLY STATION",43,946
"35","107","LANKA","CANTT RLY
STATION",42,924
"36","107","LANKA","KHAJURI",2,44
"37","107","LANKA","PAHARIYA",4,108
"38","107","LANKA","PANDEYPUR",5,135
"39","107","LANKA","RATHYATRA",5,85
"40","107","LANKA","SARNATH MUSEAM",8,264
"41","107","LANKA","SARNATH
MUSEAM",2,66
"42","107","LANKA","SIGRA",8,136
"43","107","LANKA","VIDYAPEETH",1,22
"44","107","PAHARIYA","CANTT RLY STATION",4,68
"45","107","PAHARIYA","CANTT RLY
STATION",5,85
"46","107","PAHARIYA","CHAUKAGHAT",1,17
"47","107","PAHARIYA","KHAJURI",1,12
"48","107","PAHARIYA","LANKA",6,162
"49","107","PAHARIYA","RAVINDERPURI",2,44
"50","107","PAHARIYA","SARNATH MUSEAM",1,17
"51","107","PANDEYPUR","ASAPUR",2,34
"52","107","PANDEYPUR","CANTT RLY STATION",7,119
"53","107","PANDEYPUR","CANTT RLY
STATION",4,68
"54","107","PANDEYPUR","CHAUKAGHAT",1,12
"55","107","PANDEYPUR","DURGA KUND",4,88
"56","107","PANDEYPUR","LANKA",2,54
"57","107","PANDEYPUR","SIGRA",1,17
"58","107","POLICE LINE","DURGA KUND",2,44
"59","107","POLICE LINE","HAVELIYA
CHAURAHA",1,17
"60","107","POLICE LINE","LANKA",1,27
"61","107","PURANA RTO","DURGA KUND",1,27
"62","107","PURANA RTO","RAVIDAS GATE",1,27
"63","107","RATHYATRA","ASAPUR",2,54
"64","107","RATHYATRA","LANKA",2,34
"65","107","RATHYATRA","PAHARIYA",2,44
"66","107","RATHYATRA","RAVIDAS GATE",1,17
"67","107","RATHYATRA","RAVINDERPURI",1,12
"68","107","RAVINDERPURI","PANDEYPUR",1,22
"69","107","RAVINDERPURI","PURANA RTO",1,27
"70","107","SARNATH MUSEAM","BHELUPUR",2,54
"71","107","SARNATH MUSEAM","CANTT RLY STATION",23,506
"72","107","SARNATH MUSEAM","LANKA",7,231
"73","107","SARNATH MUSEAM","PANDEYPUR",3,51
"74","107","SARNATH
MUSEAM","BHELUPUR",3,81
"75","107","SARNATH
MUSEAM","CANTT RLY
STATION",18,396
"76","107","SARNATH
MUSEAM","DURGA KUND",12,396
"77","107","SARNATH
MUSEAM","LANKA",3,99
"78","107","SARNATH
MUSEAM","PANDEYPUR",1,17
"79","107","SIGRA","DURGA KUND",2,34
"80","107","SIGRA","LANKA",8,136
"81","107","VIDYAPEETH","LANKA",2,44
"82","107","VIDYAPEETH","PAHARIYA",1,17
"83","107(B)2","BHELUPUR","RAVIDAS GATE",1,12
"84","107(B)2","BHELUPUR","VIDYAPEETH",1,12
"85","107(B)2","BHULLANPUR","CANTT RLY STATION",1,22
"86","107(B)2","BHULLANPUR","MIRZAMURAD
BAZAR",1,33
"87","107(B)2","BHULLANPUR","RAJATALAB",1,22
"88","107(B)2","BOULIA","RAJATALAB",1,27
"89","107(B)2","CANTT RLY STATION","BHELUPUR",2,34
"90","107(B)2","CANTT RLY STATION","BHULLANPUR",2,44
"91","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",4,68
"92","107(B)2","CANTT RLY STATION","DURGA KUND",11,187
"93","107(B)2","CANTT RLY STATION","JAGATPUR",9,198
"94","107(B)2","CANTT RLY STATION","KIT",3,114
"95","107(B)2","CANTT RLY STATION","LANKA",27,594
"96","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",5,215
"97","107(B)2","CANTT RLY STATION","MODHAILA",2,34
"98","107(B)2","CANTT RLY STATION","MOHANSARAI",12,324
"99","107(B)2","CANTT RLY STATION","RAJATALAB",7,231
"100","107(B)2","CANTT RLY STATION","RATHYATRA",1,12
"101","107(B)2","CANTT RLY STATION","ROHANIA",7,154
"102","107(B)2","CANTT RLY STATION","SADHU KI KUTIYA",2,76
"103","107(B)2","CANTT RLY STATION","SAHABABAD",1,27
"104","107(B)2","CANTT RLY
STATION","CHANDPUR
CHAURAHA",3,51
"105","107(B)2","CANTT RLY
STATION","DURGA KUND",1,17
"106","107(B)2","CANTT RLY
STATION","JAGATPUR",3,66
"107","107(B)2","CANTT RLY
STATION","KIT",1,38
"108","107(B)2","CANTT RLY
STATION","LANKA",29,638
"109","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",5,215
"110","107(B)2","CANTT RLY
STATION","MOHANSARAI",2,54
"111","107(B)2","CANTT RLY
STATION","RAJATALAB",1,33
"112","107(B)2","CANTT RLY
STATION","ROHANIA",2,44
"113","107(B)2","CANTT RLY
STATION","SADHU KI KUTIYA",1,38
"114","107(B)2","CANTT RLY
STATION","SAHABABAD",1,27
"115","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY STATION",1,17
"116","107(B)2","CHANDPUR
CHAURAHA","JAGATPUR",1,17
"117","107(B)2","CHANDPUR
CHAURAHA","MIRZAMURAD
BAZAR",1,38
"118","107(B)2","CHANDPUR
CHAURAHA","MOHANSARAI",2,44
"119","107(B)2","CHANDPUR
CHAURAHA","RAJATALAB",2,54
"120","107(B)2","CHANDPUR
CHAURAHA","SADHU KI KUTIYA",1,33
"121","107(B)2","JAGATPUR","CANTT RLY STATION",2,44
"122","107(B)2","JAGATPUR","CANTT RLY
STATION",1,22
"123","107(B)2","JAGATPUR","CHANDPUR
CHAURAHA",1,17
"124","107(B)2","KIT","CANTT RLY STATION",1,38
"125","107(B)2","KIT","CANTT RLY
STATION",1,38
"126","107(B)2","LAHARTARA","CANTT RLY STATION",1,12
"127","107(B)2","LAHARTARA","CHANDPUR
CHAURAHA",1,12
"128","107(B)2","LAHARTARA","MOHANSARAI",1,27
"129","107(B)2","LANKA","CANTT RLY STATION",63,1386
"130","107(B)2","LANKA","CANTT RLY
STATION",29,638
"131","107(B)2","LANKA","LAHARTARA",1,22
"132","107(B)2","LANKA","RATHYATRA",14,238
"133","107(B)2","LANKA","RAVINDERPURI",1,12
"134","107(B)2","LANKA","SIGRA",6,102
"135","107(B)2","LANKA","VIDYAPEETH",2,44
"136","107(B)2","MIRZAMURAD BAZAR","LANKA",1,48
"137","107(B)2","MIRZAMURAD
BAZAR","CANTT RLY STATION",4,172
"138","107(B)2","MIRZAMURAD
BAZAR","RAVINDERPURI",4,172
"139","107(B)2","MIRZAMURAD
BAZAR","SIGRA",1,43
"140","107(B)2","MODHAILA","CANTT RLY
STATION",3,51
"141","107(B)2","MODHAILA","MIRZAMURAD BAZAR",1,33
"142","107(B)2","MODHAILA","RAJATALAB",1,27
"143","107(B)2","MOHANSARAI","CANTT RLY STATION",5,135
"144","107(B)2","MOHANSARAI","CANTT RLY
STATION",1,27
"145","107(B)2","RAJATALAB","BOULIA",1,27
"146","107(B)2","RAJATALAB","CANTT RLY STATION",7,231
"147","107(B)2","RAJATALAB","CANTT RLY
STATION",9,297
"148","107(B)2","RAJATALAB","CHANDPUR
CHAURAHA",1,27
"149","107(B)2","RATHYATRA","CANTT RLY
STATION",1,12
"150","107(B)2","RATHYATRA","DURGA KUND",1,12
"151","107(B)2","RATHYATRA","LANKA",1,17
"152","107(B)2","RATHYATRA","RAVINDERPURI",1,12
"153","107(B)2","RAVINDERPURI","BHULLANPUR",1,27
"154","107(B)2","RAVINDERPURI","CANTT RLY STATION",3,51
"155","107(B)2","RAVINDERPURI","CANTT RLY
STATION",2,34
"156","107(B)2","RAVINDERPURI","SIGRA",1,12
"157","107(B)2","ROHANIA","CANTT RLY STATION",1,22
"158","107(B)2","ROHANIA","CANTT RLY
STATION",2,44
"159","107(B)2","SADHU KI KUTIYA","CANTT RLY STATION",2,76
"160","107(B)2","SIGRA","LANKA",1,17
"161","107(B)2","SIGRA","RAVINDERPURI",1,12
"162","109(A)","BHULLANPUR","CANTT RLY STATION",1,22
