"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",3,66
"2","107","ASAPUR","CANTT RLY
STATION",3,66
"3","107","ASAPUR","DURGA KUND",1,27
"4","107","ASAPUR","LANKA",3,99
"5","107","ASAPUR","POLICE LINE",4,68
"6","107","ASAPUR","SIGRA",1,22
"7","107","ASAPUR","VIDYAPEETH",1,22
"8","107","BHELUPUR","CANTT RLY STATION",4,68
"9","107","CANTT RLY STATION","ASAPUR",2,44
"10","107","CANTT RLY STATION","BHELUPUR",4,68
"11","107","CANTT RLY STATION","DURGA KUND",2,34
"12","107","CANTT RLY STATION","LANKA",35,770
"13","107","CANTT RLY STATION","PAHARIYA",2,34
"14","107","CANTT RLY STATION","PANDEYPUR",2,34
"15","107","CANTT RLY STATION","RATHYATRA",1,12
"16","107","CANTT RLY STATION","RAVINDERPURI",4,68
"17","107","CANTT RLY STATION","SARNATH MUSEAM",14,308
"18","107","CANTT RLY
STATION","BHELUPUR",1,17
"19","107","CANTT RLY
STATION","DURGA KUND",3,51
"20","107","CANTT RLY
STATION","LANKA",28,616
"21","107","CANTT RLY
STATION","RATHYATRA",2,24
"22","107","CANTT RLY
STATION","SARNATH MUSEAM",2,44
"23","107","CHAUKAGHAT","ASAPUR",1,22
"24","107","CHAUKAGHAT","PANDEYPUR",1,12
"25","107","HAVELIYA
CHAURAHA","CANTT RLY STATION",1,22
"26","107","HAVELIYA
CHAURAHA","LANKA",1,33
"27","107","HAVELIYA
CHAURAHA","RAVINDERPURI",1,27
"28","107","KHAJURI","CHAUKAGHAT",1,12
"29","107","KHAJURI","PURANA RTO",1,17
"30","107","KHAJURI","VIDYAPEETH",1,12
"31","107","LANKA","ASAPUR",10,330
"32","107","LANKA","CANTT RLY STATION",54,1188
"33","107","LANKA","CANTT RLY
STATION",18,396
"34","107","LANKA","CHAUKAGHAT",5,110
"35","107","LANKA","KHAJURI",1,22
"36","107","LANKA","PAHARIYA",7,189
"37","107","LANKA","PANDEYPUR",13,351
"38","107","LANKA","POLICE LINE",1,27
"39","107","LANKA","RATHYATRA",2,34
"40","107","LANKA","SARNATH MUSEAM",38,1254
"41","107","LANKA","SIGRA",13,221
"42","107","LANKA","VIDYAPEETH",1,22
"43","107","PAHARIYA","ASAPUR",2,24
"44","107","PAHARIYA","BHELUPUR",1,22
"45","107","PAHARIYA","CANTT RLY STATION",6,102
"46","107","PAHARIYA","CANTT RLY
STATION",1,17
"47","107","PAHARIYA","CHAUKAGHAT",1,17
"48","107","PAHARIYA","KHAJURI",1,12
"49","107","PAHARIYA","LANKA",1,27
"50","107","PAHARIYA","RAVINDERPURI",1,22
"51","107","PAHARIYA","SARNATH MUSEAM",1,17
"52","107","PANDEYPUR","ASAPUR",1,17
"53","107","PANDEYPUR","CANTT RLY STATION",7,119
"54","107","PANDEYPUR","CANTT RLY
STATION",1,17
"55","107","PANDEYPUR","DURGA KUND",1,22
"56","107","PANDEYPUR","LANKA",5,135
"57","107","PANDEYPUR","RAVINDERPURI",3,66
"58","107","PANDEYPUR","SARNATH MUSEAM",1,17
"59","107","POLICE LINE","CANTT RLY STATION",1,12
"60","107","POLICE LINE","SARNATH MUSEAM",1,22
"61","107","PURANA RTO","CANTT RLY STATION",1,22
"62","107","PURANA RTO","LANKA",1,33
"63","107","RATHYATRA","DURGA KUND",1,12
"64","107","RATHYATRA","LANKA",1,17
"65","107","RAVINDERPURI","ASAPUR",1,27
"66","107","RAVINDERPURI","CANTT RLY
STATION",1,17
"67","107","RAVINDERPURI","PURANA RTO",1,27
"68","107","RAVINDERPURI","SIGRA",1,12
"69","107","SARNATH MUSEAM","CANTT RLY STATION",19,418
"70","107","SARNATH MUSEAM","CANTT RLY
STATION",4,88
"71","107","SARNATH MUSEAM","KHAJURI",1,22
"72","107","SARNATH MUSEAM","LANKA",23,759
"73","107","SARNATH MUSEAM","POLICE LINE",1,22
"74","107","SARNATH MUSEAM","SIGRA",2,54
"75","107","SARNATH RLY","LANKA",1,33
"76","107","SIGRA","LANKA",2,34
"77","107","SIGRA","RAVINDERPURI",1,12
"78","107","VIDYAPEETH","ASAPUR",1,22
"79","107","VIDYAPEETH","PANDEYPUR",1,17
"80","107","VIDYAPEETH","RAVINDERPURI",1,17
"81","107(B)2","BHELUPUR","CANTT RLY STATION",2,34
"82","107(B)2","BHELUPUR","CANTT RLY
STATION",1,17
"83","107(B)2","BHULLANPUR","CANTT RLY STATION",1,22
"84","107(B)2","BHULLANPUR","CHANDPUR
CHAURAHA",1,12
"85","107(B)2","BOULIA","CANTT RLY
STATION",2,24
"86","107(B)2","BOULIA","MOHANSARAI",1,27
"87","107(B)2","CANTT RLY STATION","BHELUPUR",1,17
"88","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",8,136
"89","107(B)2","CANTT RLY STATION","DURGA KUND",5,85
"90","107(B)2","CANTT RLY STATION","JAGATPUR",2,44
"91","107(B)2","CANTT RLY STATION","LANKA",31,682
"92","107(B)2","CANTT RLY STATION","MIRZAMURAD BAZAR",1,43
"93","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",4,172
"94","107(B)2","CANTT RLY STATION","MODHAILA",4,68
"95","107(B)2","CANTT RLY STATION","MOHANSARAI",11,297
"96","107(B)2","CANTT RLY STATION","RAJATALAB",11,363
"97","107(B)2","CANTT RLY STATION","RATHYATRA",1,12
"98","107(B)2","CANTT RLY STATION","RAVIDAS GATE",4,88
"99","107(B)2","CANTT RLY STATION","RAVINDERPURI",1,17
"100","107(B)2","CANTT RLY STATION","ROHANIA",3,66
"101","107(B)2","CANTT RLY STATION","SAHABABAD",1,27
"102","107(B)2","CANTT RLY
STATION","BHELUPUR",3,51
"103","107(B)2","CANTT RLY
STATION","BHULLANPUR",1,22
"104","107(B)2","CANTT RLY
STATION","BOULIA",2,24
"105","107(B)2","CANTT RLY
STATION","CHANDPUR
CHAURAHA",2,34
"106","107(B)2","CANTT RLY
STATION","JAGATPUR",1,22
"107","107(B)2","CANTT RLY
STATION","LAHARTARA",1,12
"108","107(B)2","CANTT RLY
STATION","LANKA",9,198
"109","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",4,172
