"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","BHELUPUR",2,54
"2","107","ASAPUR","CANTT RLY STATION",3,66
"3","107","ASAPUR","CANTT RLY
STATION",7,154
"4","107","ASAPUR","DURGA KUND",1,27
"5","107","ASAPUR","LANKA",4,132
"6","107","ASAPUR","SIGRA",2,44
"7","107","BHELUPUR","CANTT RLY STATION",1,17
"8","107","BHELUPUR","CANTT RLY
STATION",1,17
"9","107","BHELUPUR","PAHARIYA",1,22
"10","107","CANTT RLY STATION","DURGA KUND",4,68
"11","107","CANTT RLY STATION","LANKA",16,352
"12","107","CANTT RLY STATION","PANDEYPUR",2,34
"13","107","CANTT RLY STATION","SARNATH MUSEAM",16,352
"14","107","CANTT RLY
STATION","ASAPUR",5,110
"15","107","CANTT RLY
STATION","BHELUPUR",2,34
"16","107","CANTT RLY
STATION","DURGA KUND",8,136
"17","107","CANTT RLY
STATION","LANKA",26,572
"18","107","CANTT RLY
STATION","PAHARIYA",3,51
"19","107","CANTT RLY
STATION","RAVINDERPURI",1,17
"20","107","CANTT RLY
STATION","SARNATH MUSEAM",13,286
"21","107","CHAUKAGHAT","ASAPUR",1,22
"22","107","CHAUKAGHAT","PANDEYPUR",1,12
"23","107","CHAUKAGHAT","SARNATH MUSEAM",6,132
"24","107","DURGA KUND","ASAPUR",1,27
"25","107","DURGA KUND","CANTT RLY STATION",3,51
"26","107","DURGA KUND","LANKA",1,12
"27","107","DURGA KUND","SIGRA",1,17
"28","107","HAVELIYA
CHAURAHA","CANTT RLY
STATION",2,44
"29","107","KHAJURI","ASAPUR",1,17
"30","107","LANKA","ASAPUR",6,198
"31","107","LANKA","CANTT RLY STATION",36,792
"32","107","LANKA","CANTT RLY
STATION",33,726
"33","107","LANKA","CHAUKAGHAT",10,220
"34","107","LANKA","PAHARIYA",4,108
"35","107","LANKA","PANDEYPUR",9,243
"36","107","LANKA","RATHYATRA",2,34
"37","107","LANKA","SARNATH MUSEAM",7,231
"38","107","LANKA","SARNATH RLY",3,99
"39","107","LANKA","SIGRA",8,136
"40","107","PAHARIYA","CANTT RLY STATION",1,17
"41","107","PAHARIYA","LANKA",3,81
"42","107","PAHARIYA","RAVINDERPURI",2,44
"43","107","PANDEYPUR","CANTT RLY
STATION",6,102
"44","107","PANDEYPUR","DURGA KUND",1,22
"45","107","PANDEYPUR","HAVELIYA
CHAURAHA",1,17
"46","107","PANDEYPUR","LANKA",2,54
"47","107","PANDEYPUR","SARNATH MUSEAM",2,34
"48","107","POLICE LINE","CANTT RLY STATION",2,24
"49","107","POLICE LINE","DURGA KUND",1,22
"50","107","PURANA RTO","LANKA",1,33
"51","107","RATHYATRA","CANTT RLY STATION",1,12
"52","107","RAVINDERPURI","ASAPUR",1,27
"53","107","SARNATH MUSEAM","BHELUPUR",4,108
"54","107","SARNATH MUSEAM","CANTT RLY STATION",13,286
"55","107","SARNATH MUSEAM","CANTT RLY
STATION",4,88
"56","107","SARNATH MUSEAM","LANKA",10,330
"57","107","SARNATH RLY","CANTT RLY STATION",1,27
"58","107","SARNATH RLY","LANKA",3,99
"59","107","SARNATH
MUSEAM","CANTT RLY
STATION",17,374
"60","107","SARNATH
MUSEAM","LANKA",2,66
"61","107","SARNATH
MUSEAM","PANDEYPUR",1,17
"62","107","SARNATH
MUSEAM","RATHYATRA",1,27
"63","107","SIGRA","DURGA KUND",2,34
"64","107","SIGRA","LANKA",1,17
"65","107","SIGRA","PANDEYPUR",1,17
"66","107(B)2","BHELUPUR","CANTT RLY STATION",1,17
"67","107(B)2","BHULLANPUR","RAJATALAB",1,22
"68","107(B)2","BOULIA","SADHU KI KUTIYA",1,33
"69","107(B)2","CANTT RLY STATION","BHULLANPUR",2,44
"70","107(B)2","CANTT RLY STATION","CHANDPUR
CHAURAHA",1,17
"71","107(B)2","CANTT RLY STATION","DURGA KUND",11,187
"72","107(B)2","CANTT RLY STATION","JAGATPUR",5,110
"73","107(B)2","CANTT RLY STATION","KIT",8,304
"74","107(B)2","CANTT RLY STATION","LANKA",23,506
"75","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",11,473
"76","107(B)2","CANTT RLY STATION","MOHANSARAI",15,405
"77","107(B)2","CANTT RLY STATION","RAJATALAB",9,297
"78","107(B)2","CANTT RLY STATION","RAVIDAS GATE",1,22
"79","107(B)2","CANTT RLY STATION","RAVINDERPURI",3,51
"80","107(B)2","CANTT RLY STATION","ROHANIA",5,110
"81","107(B)2","CANTT RLY STATION","SAHABABAD",4,108
"82","107(B)2","CANTT RLY
STATION","BHELUPUR",4,68
"83","107(B)2","CANTT RLY
STATION","BHULLANPUR",1,22
"84","107(B)2","CANTT RLY
STATION","DURGA KUND",11,187
"85","107(B)2","CANTT RLY
STATION","LANKA",19,418
"86","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",2,86
"87","107(B)2","CANTT RLY
STATION","MOHANSARAI",3,81
"88","107(B)2","CANTT RLY
STATION","RAJATALAB",3,99
"89","107(B)2","CANTT RLY
STATION","ROHANIA",4,88
"90","107(B)2","CANTT RLY
STATION","SADHU KI KUTIYA",1,38
"91","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY STATION",1,17
"92","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY
STATION",1,17
"93","107(B)2","CHANDPUR
CHAURAHA","MIRZAMURAD
BAZAR",2,76
"94","107(B)2","CHANDPUR
CHAURAHA","MOHANSARAI",2,44
"95","107(B)2","CHANDPUR
CHAURAHA","RAJATALAB",3,81
"96","107(B)2","DURGA KUND","CANTT RLY STATION",4,68
"97","107(B)2","DURGA KUND","CANTT RLY
STATION",4,68
"98","107(B)2","DURGA KUND","SIGRA",1,17
"99","107(B)2","JAGATPUR","CANTT RLY STATION",1,22
"100","107(B)2","JAGATPUR","CANTT RLY
STATION",3,66
"101","107(B)2","KIT","CANTT RLY STATION",3,114
"102","107(B)2","KIT","LANKA",1,48
"103","107(B)2","LAHARTARA","BHULLANPUR",2,34
"104","107(B)2","LAHARTARA","MIRZAMURAD
BAZAR",5,190
"105","107(B)2","LAHARTARA","MODHAILA",2,34
"106","107(B)2","LAHARTARA","MOHANSARAI",5,135
"107","107(B)2","LAHARTARA","RAJATALAB",1,33
"108","107(B)2","LAHARTARA","ROHANIA",2,34
"109","107(B)2","LANKA","CANTT RLY STATION",67,1474
"110","107(B)2","LANKA","CANTT RLY
STATION",34,748
"111","107(B)2","LANKA","MIRZAMURAD
BAZAR",2,96
"112","107(B)2","LANKA","SIGRA",13,221
"113","107(B)2","MIRZAMURAD BAZAR","RAJATALAB",1,22
"114","107(B)2","MIRZAMURAD
BAZAR","CANTT RLY
STATION",1,43
"115","107(B)2","MIRZAMURAD
BAZAR","CHANDPUR
CHAURAHA",1,38
"116","107(B)2","MIRZAMURAD
BAZAR","LANKA",1,48
"117","107(B)2","MODHAILA","CANTT RLY STATION",3,51
"118","107(B)2","MODHAILA","CANTT RLY
STATION",1,17
"119","107(B)2","MODHAILA","KIT",1,33
"120","107(B)2","MOHANSARAI","BOULIA",1,27
"121","107(B)2","MOHANSARAI","CANTT RLY STATION",17,459
"122","107(B)2","RAJATALAB","BHULLANPUR",1,22
"123","107(B)2","RAJATALAB","CANTT RLY STATION",7,231
"124","107(B)2","RAJATALAB","CANTT RLY
STATION",1,33
"125","107(B)2","RAJATALAB","DURGA KUND",1,38
"126","107(B)2","RAJATALAB","ROHANIA",1,22
"127","107(B)2","RAKHAUNA","CANTT RLY STATION",2,76
"128","107(B)2","RATHYATRA","CANTT RLY STATION",1,12
"129","107(B)2","RATHYATRA","LANKA",1,17
"130","107(B)2","RAVIDAS GATE","CANTT RLY STATION",13,286
"131","107(B)2","RAVIDAS GATE","MOHANSARAI",5,190
"132","107(B)2","RAVIDAS GATE","SIGRA",2,34
"133","107(B)2","RAVIDAS GATE","VIDYAPEETH",1,17
"134","107(B)2","ROHANIA","CANTT RLY STATION",3,66
"135","107(B)2","ROHANIA","CANTT RLY
STATION",4,88
"136","107(B)2","ROHANIA","CHANDPUR
CHAURAHA",1,12
"137","107(B)2","ROHANIA","MIRZAMURAD
BAZAR",2,66
"138","107(B)2","ROHANIA","MOHANSARAI",1,17
"139","107(B)2","SADHU KI KUTIYA","CANTT RLY STATION",1,38
"140","107(B)2","SADHU KI KUTIYA","CANTT RLY
STATION",4,152
"141","107(B)2","SAHABABAD","CANTT RLY STATION",1,27
"142","107(B)2","SAHABABAD","CANTT RLY
STATION",1,27
"143","107(B)2","SAHABABAD","DURGA KUND",2,66
"144","107(B)2","SAHABABAD","MODHAILA",1,17
"145","107(B)2","SAHABABAD","SIGRA",2,54
"146","107(B)2","SIGRA","LANKA",3,51
"147","107(B)2","VIDYAPEETH","ROHANIA",1,22
"148","109(A)","BHADAU
CHOURAHA","CANTT RLY
STATION",1,17
"149","109(A)","BHULLANPUR","CANTT RLY STATION",1,22
"150","109(A)","BHULLANPUR","CANTT RLY
STATION",1,22
"151","109(A)","BHULLANPUR","MIRZAMURAD
BAZAR",1,33
"152","109(A)","BOULIA","ROHANIA",1,17
"153","109(A)","CANTT RLY
STATION","BHULLANPUR",5,110
"154","109(A)","CANTT RLY
STATION","CHANDPUR
CHAURAHA",3,51
"155","109(A)","CANTT RLY
STATION","JAGATPUR",10,220
"156","109(A)","CANTT RLY
STATION","KIT",4,152
"157","109(A)","CANTT RLY
STATION","MIRZAMURAD
BAZAR",23,989
"158","109(A)","CANTT RLY
STATION","MODHAILA",5,85
"159","109(A)","CANTT RLY
STATION","MOHANSARAI",16,432
"160","109(A)","CANTT RLY
STATION","RAJATALAB",26,858
"161","109(A)","CANTT RLY
STATION","RAKHAUNA",1,38
"162","109(A)","CANTT RLY
STATION","ROHANIA",11,242
"163","109(A)","CANTT RLY
STATION","SADHU KI KUTIYA",3,114
"164","109(A)","CHANDPUR
CHAURAHA","CANTT RLY
STATION",1,17
"165","109(A)","CHANDPUR
CHAURAHA","CHAUKAGHAT",1,17
"166","109(A)","CHANDPUR
CHAURAHA","MIRZAMURAD
BAZAR",1,38
"167","109(A)","CHANDPUR
CHAURAHA","RAJATALAB",1,27
"168","109(A)","CHAUKAGHAT","CHANDPUR
CHAURAHA",1,17
"169","109(A)","CITY RAILWAY
STATION","BHULLANPUR",1,22
