"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",16,352
"2","107","ASAPUR","CANTT RLY
STATION",7,154
"3","107","ASAPUR","DURGA KUND",1,27
"4","107","ASAPUR","LANKA",6,198
"5","107","ASAPUR","POLICE LINE",2,34
"6","107","ASAPUR","SIGRA",3,66
"7","107","BHELUPUR","CANTT RLY STATION",1,17
"8","107","BHELUPUR","CANTT RLY
STATION",2,34
"9","107","BHELUPUR","CHAUKAGHAT",1,17
"10","107","BHELUPUR","PAHARIYA",1,22
"11","107","BHELUPUR","VIDYAPEETH",2,24
"12","107","CANTT RLY STATION","ASAPUR",5,110
"13","107","CANTT RLY STATION","DURGA KUND",7,119
"14","107","CANTT RLY STATION","LANKA",58,1276
"15","107","CANTT RLY STATION","PAHARIYA",1,17
"16","107","CANTT RLY STATION","RAVINDERPURI",1,17
"17","107","CANTT RLY STATION","SARNATH MUSEAM",20,440
"18","107","CANTT RLY
STATION","ASAPUR",7,154
"19","107","CANTT RLY
STATION","BHELUPUR",4,68
"20","107","CANTT RLY
STATION","DURGA KUND",2,34
"21","107","CANTT RLY
STATION","LANKA",16,352
"22","107","CANTT RLY
STATION","PAHARIYA",4,68
"23","107","CANTT RLY
STATION","POLICE LINE",1,12
"24","107","CANTT RLY
STATION","RATHYATRA",1,12
"25","107","CANTT RLY
STATION","RAVIDAS GATE",2,44
"26","107","CANTT RLY
STATION","RAVINDERPURI",1,17
"27","107","CANTT RLY
STATION","SARNATH
MUSEAM",1,22
"28","107","CHAUKAGHAT","DURGA KUND",1,22
"29","107","CHAUKAGHAT","LANKA",1,22
"30","107","CHAUKAGHAT","PURANA RTO",1,17
"31","107","CHAUKAGHAT","SARNATH
MUSEAM",1,22
"32","107","DURGA KUND","ASAPUR",5,135
"33","107","DURGA KUND","CANTT RLY STATION",5,85
"34","107","DURGA KUND","CANTT RLY
STATION",8,136
"35","107","DURGA KUND","PANDEYPUR",1,22
"36","107","DURGA KUND","RATHYATRA",3,36
"37","107","DURGA KUND","SARNATH MUSEAM",2,66
"38","107","HAVELIYA
CHAURAHA","CANTT RLY STATION",1,22
"39","107","HAVELIYA
CHAURAHA","LANKA",1,33
"40","107","KHAJURI","SARNATH MUSEAM",2,44
"41","107","LANKA","ASAPUR",5,165
"42","107","LANKA","CANTT RLY STATION",32,704
"43","107","LANKA","CANTT RLY
STATION",59,1298
"44","107","LANKA","CHAUKAGHAT",1,22
"45","107","LANKA","KHAJURI",3,66
"46","107","LANKA","PAHARIYA",9,243
"47","107","LANKA","PANDEYPUR",8,216
"48","107","LANKA","POLICE LINE",1,27
"49","107","LANKA","PURANA RTO",1,33
"50","107","LANKA","RATHYATRA",3,51
"51","107","LANKA","SARNATH MUSEAM",15,495
"52","107","LANKA","SARNATH RLY",13,429
"53","107","LANKA","SARNATH
MUSEAM",6,198
"54","107","LANKA","SIGRA",15,255
"55","107","PAHARIYA","CANTT RLY STATION",6,102
"56","107","PAHARIYA","CANTT RLY
STATION",1,17
"57","107","PAHARIYA","LANKA",3,81
"58","107","PANDEYPUR","CANTT RLY STATION",3,51
"59","107","PANDEYPUR","CANTT RLY
STATION",1,17
"60","107","PANDEYPUR","DURGA KUND",2,44
"61","107","PANDEYPUR","LANKA",3,81
"62","107","PANDEYPUR","SARNATH MUSEAM",2,34
"63","107","PANDEYPUR","SARNATH
MUSEAM",1,17
"64","107","PANDEYPUR","SIGRA",2,34
"65","107","POLICE LINE","CANTT RLY STATION",2,24
"66","107","POLICE LINE","DURGA KUND",2,44
"67","107","POLICE LINE","SARNATH
MUSEAM",4,88
"68","107","PURANA RTO","CANTT RLY
STATION",3,66
"69","107","PURANA RTO","LANKA",2,66
"70","107","PURANA RTO","RAVIDAS GATE",1,27
"71","107","RATHYATRA","LANKA",1,17
"72","107","RATHYATRA","RAVINDERPURI",1,12
"73","107","RAVINDERPURI","ASAPUR",1,27
"74","107","RAVINDERPURI","CANTT RLY
STATION",1,17
"75","107","RAVINDERPURI","CHAUKAGHAT",1,17
"76","107","SARNATH MUSEAM","BHELUPUR",3,81
"77","107","SARNATH MUSEAM","CANTT RLY STATION",4,88
"78","107","SARNATH MUSEAM","LANKA",17,561
"79","107","SARNATH MUSEAM","SIGRA",1,27
"80","107","SARNATH RLY","CHAUKAGHAT",1,22
"81","107","SARNATH RLY","LANKA",1,33
"82","107","SARNATH RLY","PANDEYPUR",1,22
"83","107","SARNATH
MUSEAM","BHELUPUR",1,27
"84","107","SARNATH
MUSEAM","CANTT RLY
STATION",18,396
"85","107","SARNATH
MUSEAM","DURGA KUND",4,132
"86","107","SARNATH
MUSEAM","KHAJURI",2,44
"87","107","SARNATH
MUSEAM","LANKA",9,297
"88","107","SARNATH
MUSEAM","PANDEYPUR",1,17
"89","107","SARNATH
MUSEAM","SIGRA",2,54
"90","107","SIGRA","ASAPUR",3,66
"91","107","SIGRA","CANTT RLY
STATION",1,12
"92","107(B)2","BHELUPUR","CANTT RLY
STATION",1,17
"93","107(B)2","BHULLANPUR","CANTT RLY
STATION",1,22
"94","107(B)2","BOULIA","BHULLANPUR",1,17
"95","107(B)2","BOULIA","MIRZAMURAD
BAZAR",1,38
"96","107(B)2","BOULIA","RAJATALAB",3,81
"97","107(B)2","BOULIA","ROHANIA",10,170
"98","107(B)2","BOULIA","SADHU KI KUTIYA",1,33
"99","107(B)2","BOULIA","SAHABABAD",1,22
"100","107(B)2","CANTT RLY STATION","BHULLANPUR",3,66
"101","107(B)2","CANTT RLY STATION","JAGATPUR",5,110
"102","107(B)2","CANTT RLY STATION","KIT",2,76
"103","107(B)2","CANTT RLY STATION","LANKA",5,110
"104","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",2,86
"105","107(B)2","CANTT RLY STATION","MODHAILA",4,68
"106","107(B)2","CANTT RLY STATION","MOHANSARAI",19,513
"107","107(B)2","CANTT RLY STATION","RAJATALAB",5,165
"108","107(B)2","CANTT RLY STATION","RAKHAUNA",1,38
"109","107(B)2","CANTT RLY STATION","ROHANIA",3,66
"110","107(B)2","CANTT RLY STATION","SADHU KI KUTIYA",7,266
"111","107(B)2","CANTT RLY
STATION","BHULLANPUR",2,44
"112","107(B)2","CANTT RLY
STATION","DURGA KUND",5,85
"113","107(B)2","CANTT RLY
STATION","JAGATPUR",3,66
"114","107(B)2","CANTT RLY
STATION","KIT",5,190
"115","107(B)2","CANTT RLY
STATION","LANKA",35,770
"116","107(B)2","CANTT RLY
STATION","MIRZAMURAD
BAZAR",3,129
"117","107(B)2","CANTT RLY
STATION","MODHAILA",5,85
"118","107(B)2","CANTT RLY
STATION","MOHANSARAI",11,297
"119","107(B)2","CANTT RLY
STATION","RAJATALAB",11,363
"120","107(B)2","CANTT RLY
STATION","RAKHAUNA",1,38
"121","107(B)2","CANTT RLY
STATION","RAVIDAS GATE",1,22
"122","107(B)2","CANTT RLY
STATION","RAVINDERPURI",1,17
"123","107(B)2","CANTT RLY
STATION","ROHANIA",10,220
"124","107(B)2","CANTT RLY
STATION","SAHABABAD",2,54
"125","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY
STATION",1,17
"126","107(B)2","CHANDPUR
CHAURAHA","SAHABABAD",1,22
"127","107(B)2","DURGA KUND","CANTT RLY STATION",4,68
"128","107(B)2","DURGA KUND","CANTT RLY
STATION",2,34
"129","107(B)2","DURGA KUND","RATHYATRA",2,24
"130","107(B)2","JAGATPUR","MIRZAMURAD
BAZAR",2,66
"131","107(B)2","KIT","BHULLANPUR",1,33
"132","107(B)2","KIT","CANTT RLY
STATION",1,38
"133","107(B)2","LAHARTARA","BHULLANPUR",2,34
"134","107(B)2","LAHARTARA","CANTT RLY
STATION",1,12
"135","107(B)2","LAHARTARA","MIRZAMURAD
BAZAR",2,76
"136","107(B)2","LAHARTARA","ROHANIA",1,17
"137","107(B)2","LANKA","CANTT RLY STATION",39,858
"138","107(B)2","LANKA","CANTT RLY
STATION",66,1452
"139","107(B)2","LANKA","MOHANSARAI",1,38
"140","107(B)2","LANKA","RATHYATRA",6,102
"141","107(B)2","LANKA","SIGRA",19,323
"142","107(B)2","LANKA","VIDYAPEETH",3,66
"143","107(B)2","MIRZAMURAD
BAZAR","LAHARTARA",1,38
