"","R.N","FROM","TO","prs","revenue"
"1","107","ASAPUR","CANTT RLY STATION",20,440
"2","107","ASAPUR","KHAJURI",2,34
"3","107","ASAPUR","LANKA",10,330
"4","107","ASAPUR","PAHARIYA",3,36
"5","107","ASAPUR","POLICE LINE",1,17
"6","107","ASAPUR","SIGRA",6,132
"7","107","BHELUPUR","SIGRA",1,12
"8","107","CANTT RLY STATION","ASAPUR",2,44
"9","107","CANTT RLY STATION","DURGA KUND",26,442
"10","107","CANTT RLY STATION","HAVELIYA
CHAURAHA",1,22
"11","107","CANTT RLY STATION","LANKA",64,1408
"12","107","CANTT RLY STATION","PAHARIYA",6,102
"13","107","CANTT RLY STATION","POLICE LINE",1,12
"14","107","CANTT RLY STATION","RAVIDAS GATE",2,44
"15","107","CANTT RLY STATION","SARNATH MUSEAM",14,308
"16","107","CANTT RLY STATION","SIGRA",3,36
"17","107","CHAUKAGHAT","DURGA KUND",1,22
"18","107","CHAUKAGHAT","LANKA",3,66
"19","107","DURGA KUND","ASAPUR",3,81
"20","107","DURGA KUND","CANTT RLY STATION",8,136
"21","107","DURGA KUND","CHAUKAGHAT",1,22
"22","107","HAVELIYA
CHAURAHA","PANDEYPUR",1,17
"23","107","LANKA","ASAPUR",2,66
"24","107","LANKA","CANTT RLY STATION",78,1716
"25","107","LANKA","CHAUKAGHAT",14,308
"26","107","LANKA","KHAJURI",1,22
"27","107","LANKA","PAHARIYA",16,432
"28","107","LANKA","PANDEYPUR",1,27
"29","107","LANKA","POLICE LINE",1,27
"30","107","LANKA","RAVINDERPURI",1,12
"31","107","LANKA","SARNATH MUSEAM",17,561
"32","107","LANKA","SARNATH RLY",1,33
"33","107","LANKA","SIGRA",5,85
"34","107","PAHARIYA","CANTT RLY STATION",7,119
"35","107","PAHARIYA","CHAUKAGHAT",1,17
"36","107","PAHARIYA","LANKA",5,135
"37","107","PAHARIYA","POLICE LINE",1,12
"38","107","PAHARIYA","RAVINDERPURI",3,66
"39","107","PAHARIYA","SIGRA",1,22
"40","107","PANDEYPUR","ASAPUR",1,17
"41","107","PANDEYPUR","CANTT RLY STATION",4,68
"42","107","PANDEYPUR","DURGA KUND",5,110
"43","107","PANDEYPUR","LANKA",6,162
"44","107","PANDEYPUR","SARNATH MUSEAM",1,17
"45","107","PANDEYPUR","SIGRA",1,17
"46","107","POLICE LINE","CANTT RLY STATION",3,36
"47","107","POLICE LINE","DURGA KUND",1,22
"48","107","POLICE LINE","LANKA",2,54
"49","107","POLICE LINE","PAHARIYA",1,12
"50","107","POLICE LINE","SARNATH MUSEAM",7,154
"51","107","PURANA RTO","CANTT RLY STATION",1,22
"52","107","PURANA RTO","CHAUKAGHAT",1,17
"53","107","PURANA RTO","RATHYATRA",1,22
"54","107","RATHYATRA","ASAPUR",1,27
"55","107","RATHYATRA","CANTT RLY STATION",4,48
"56","107","RATHYATRA","LANKA",5,85
"57","107","RAVINDERPURI","CANTT RLY STATION",2,34
"58","107","SARNATH MUSEAM","BHELUPUR",4,108
"59","107","SARNATH MUSEAM","CANTT RLY STATION",59,1298
"60","107","SARNATH MUSEAM","LANKA",15,495
"61","107","SARNATH MUSEAM","PANDEYPUR",5,85
"62","107","SARNATH MUSEAM","RATHYATRA",1,27
"63","107","SARNATH MUSEAM","RAVINDERPURI",1,33
"64","107","SIGRA","LANKA",3,51
"65","107","SIGRA","RAVINDERPURI",1,12
"66","107","SIGRA","SARNATH MUSEAM",1,27
"67","107","VIDYAPEETH","LANKA",2,44
"68","107","VIDYAPEETH","RATHYATRA",1,12
"69","107(B)2","BHELUPUR","VIDYAPEETH",2,24
"70","107(B)2","BHULLANPUR","CANTT RLY STATION",1,22
"71","107(B)2","BOULIA","CANTT RLY STATION",1,12
"72","107(B)2","BOULIA","SADHU KI KUTIYA",1,33
"73","107(B)2","CANTT RLY STATION","DURGA KUND",20,340
"74","107(B)2","CANTT RLY STATION","JAGATPUR",9,198
"75","107(B)2","CANTT RLY STATION","KIT",2,76
"76","107(B)2","CANTT RLY STATION","LANKA",57,1254
"77","107(B)2","CANTT RLY STATION","MIRZAMURAD BAZAR",1,43
"78","107(B)2","CANTT RLY STATION","MIRZAMURAD
BAZAR",11,473
"79","107(B)2","CANTT RLY STATION","MODHAILA",3,51
"80","107(B)2","CANTT RLY STATION","MOHANSARAI",10,270
"81","107(B)2","CANTT RLY STATION","RAJATALAB",10,330
"82","107(B)2","CANTT RLY STATION","RAVIDAS GATE",1,22
"83","107(B)2","CANTT RLY STATION","RAVINDERPURI",1,17
"84","107(B)2","CANTT RLY STATION","ROHANIA",1,22
"85","107(B)2","CANTT RLY STATION","SADHU KI KUTIYA",6,228
"86","107(B)2","CHANDPUR
CHAURAHA","CANTT RLY STATION",3,51
"87","107(B)2","CHANDPUR
CHAURAHA","ROHANIA",1,12
"88","107(B)2","DURGA KUND","CANTT RLY STATION",5,85
"89","107(B)2","JAGATPUR","CANTT RLY STATION",1,22
"90","107(B)2","JAGATPUR","RAJATALAB",2,44
"91","107(B)2","LAHARTARA","CANTT RLY STATION",1,12
"92","107(B)2","LAHARTARA","MIRZAMURAD
BAZAR",1,38
"93","107(B)2","LAHARTARA","MOHANSARAI",1,27
"94","107(B)2","LAHARTARA","ROHANIA",1,17
"95","107(B)2","LANKA","CANTT RLY STATION",116,2552
"96","107(B)2","LANKA","CHANDPUR
CHAURAHA",2,54
"97","107(B)2","LANKA","LAHARTARA",1,22
"98","107(B)2","LANKA","RATHYATRA",1,17
"99","107(B)2","LANKA","ROHANIA",3,99
"100","107(B)2","LANKA","SIGRA",11,187
"101","107(B)2","MIRZAMURAD
BAZAR","BHELUPUR",2,86
"102","107(B)2","MIRZAMURAD
BAZAR","MODHAILA",1,33
"103","107(B)2","MODHAILA","CANTT RLY STATION",3,51
"104","107(B)2","MODHAILA","MIRZAMURAD
BAZAR",3,99
"105","107(B)2","MODHAILA","MOHANSARAI",1,22
"106","107(B)2","MODHAILA","RAJATALAB",1,27
"107","107(B)2","MODHAILA","SAHABABAD",1,17
"108","107(B)2","MOHANSARAI","CANTT RLY STATION",5,135
"109","107(B)2","MOHANSARAI","MODHAILA",1,22
"110","107(B)2","MOHANSARAI","RAVINDERPURI",1,33
"111","107(B)2","RAJATALAB","BHELUPUR",2,76
"112","107(B)2","RAJATALAB","CANTT RLY STATION",8,264
"113","107(B)2","RAJATALAB","SIGRA",1,33
"114","107(B)2","RAVIDAS GATE","VIDYAPEETH",1,17
"115","107(B)2","RAVINDERPURI","CANTT RLY STATION",2,34
"116","107(B)2","ROHANIA","CANTT RLY STATION",1,22
"117","107(B)2","SADHU KI KUTIYA","BOULIA",1,33
"118","107(B)2","SIGRA","LANKA",3,51
"119","109(A)","BHULLANPUR","CANTT RLY STATION",1,22
"120","109(A)","BHULLANPUR","RAKHAUNA",3,81
"121","109(A)","CANTT RLY STATION","BHULLANPUR",4,88
"122","109(A)","CANTT RLY STATION","CITY RAILWAY
STATION",1,12
"123","109(A)","CANTT RLY STATION","JAGATPUR",18,396
"124","109(A)","CANTT RLY STATION","KIT",8,304
"125","109(A)","CANTT RLY STATION","MIRZAMURAD
BAZAR",29,1247
"126","109(A)","CANTT RLY STATION","MODHAILA",7,119
"127","109(A)","CANTT RLY STATION","MOHANSARAI",32,864
"128","109(A)","CANTT RLY STATION","RAJATALAB",34,1122
"129","109(A)","CANTT RLY STATION","ROHANIA",4,88
"130","109(A)","CANTT RLY STATION","SADHU KI KUTIYA",1,38
"131","109(A)","CHANDPUR
CHAURAHA","CANTT RLY STATION",2,34
"132","109(A)","CHANDPUR
CHAURAHA","MOHANSARAI",2,44
"133","109(A)","CHANDPUR
CHAURAHA","RAJATALAB",4,108
"134","109(A)","CHANDPUR
CHAURAHA","SAHABABAD",1,22
"135","109(A)","CITY RAILWAY
STATION","CANTT RLY STATION",3,36
"136","109(A)","CITY RAILWAY
STATION","RAJATALAB",1,33
"137","109(A)","GOLGADDA","CANTT RLY STATION",9,108
"138","109(A)","GOLGADDA","CHANDPUR
CHAURAHA",1,22
"139","109(A)","GOLGADDA","RAKHAUNA",1,38
"140","109(A)","JAGATPUR","CANTT RLY STATION",2,44
"141","109(A)","JAGATPUR","CHANDPUR
CHAURAHA",1,17
"142","109(A)","JAGATPUR","MOHANSARAI",1,17
"143","109(A)","KAZZAKPURA","CANTT RLY STATION",2,34
"144","109(A)","KIT","CANTT RLY STATION",3,114
"145","109(A)","LAHARTARA","RAJGHAT",1,22
"146","109(A)","MIRZAMURAD
BAZAR","BHADAU
CHOURAHA",1,43
"147","109(A)","MIRZAMURAD
BAZAR","CANTT RLY STATION",6,258
"148","109(A)","MIRZAMURAD
BAZAR","MODHAILA",1,33
"149","109(A)","MODHAILA","CANTT RLY STATION",2,34
"150","109(A)","MODHAILA","MOHANSARAI",1,22
"151","109(A)","MOHANSARAI","CANTT RLY STATION",6,162
"152","109(A)","MOHANSARAI","ROHANIA",1,17
"153","109(A)","RAJATALAB","BHULLANPUR",3,66
"154","109(A)","RAJATALAB","BOULIA",1,27
"155","109(A)","RAJATALAB","CANTT RLY STATION",3,99
"156","109(A)","RAJATALAB","CITY RAILWAY
STATION",4,132
